Time, X, Y, Z, Rotation, isSick
6,9.92779,0.448,3.568376,0,0
6.5,8.818413,0.2662094,4.200691,0,0
7,8.753841,0.2898954,4.392217,0,0
7.5,8.753841,0.2898954,4.392217,0,0
8,8.753841,0.2898954,4.392217,0,0
8.5,8.753841,0.2898954,4.392217,0,0
9,8.753841,0.2898954,4.392217,0,0
9.5,8.753841,0.2898954,4.392217,0,0
10,8.753841,0.2898954,4.392217,0,0
10.5,9.777153,0.5707509,5.139803,0,0
11,10.79606,0.9026332,6.05303,0,0
11.5,11.92481,1.311199,6.955123,0,0
12,12.3661,1.523531,7.509063,0,0
12.5,12.3661,1.523531,7.509063,0,0
13,12.3661,1.523531,7.509063,0,0
13.5,12.3661,1.523531,7.509063,0,0
14,12.3661,1.523531,7.509063,0,0
14.5,11.44124,1.44505,7.923177,0,0
15,11.35032,1.636765,8.766276,0,0
15.5,12.65733,1.974506,9.385537,6.412581,0
16,14.08717,2.139372,9.850307,28.92558,0
16.5,15.20116,2.419618,10.84977,28.92558,0
17,16.46217,2.549502,11.59148,28.92558,0
17.5,16.95347,2.867631,12.5811,18.86973,0
18,16.53902,3.088366,13.11375,351.4135,0
18.5,17.70467,3.327794,14.32555,2.007878,0
19,19.01329,3.532715,15.43587,31.90672,0
19.5,19.43979,3.782536,16.73371,38.82628,0
20,20.53528,4.080129,17.54599,48.87737,0
20.5,21.60415,4.486331,18.09039,55.24503,0
21,22.72281,5.011971,18.77257,55.24503,0
21.5,23.48633,5.140459,19.02476,55.24503,0
22,24.39523,5.277237,18.93274,55.24503,0
22.5,24.39523,5.277237,18.93274,55.24503,0
23,24.39523,5.277237,18.93274,55.24503,0
23.5,24.39523,5.277237,18.93274,55.24503,0
24,24.39523,5.277237,18.93274,55.24503,0
24.5,24.39523,5.277237,18.93274,55.24503,0
25,24.39523,5.277237,18.93274,55.24503,0
25.5,24.39523,5.277237,18.93274,55.24503,0
26,24.39523,5.277237,18.93274,55.24503,0
26.5,24.39523,5.277237,18.93274,55.24503,0
27,24.39523,5.277237,18.93274,55.24503,0
27.5,24.39523,5.277237,18.93274,55.24503,0
28,24.39523,5.277237,18.93274,55.24503,0
28.5,24.39523,5.277237,18.93274,55.24503,0
29,24.39523,5.277237,18.93274,55.24503,0
29.5,24.39523,5.277237,18.93274,55.24503,0
30,24.39523,5.277237,18.93274,55.24503,0
30.5,24.39523,5.277237,18.93274,55.24503,0
31,24.39523,5.277237,18.93274,55.24503,0
31.5,24.39523,5.277237,18.93274,55.24503,0
32,24.91668,5.338534,19.56582,55.24503,0
32.5,24.91668,5.338534,19.56582,55.24503,0
33,24.91668,5.338534,19.56582,55.24503,0
33.5,24.91668,5.338534,19.56582,55.24503,0
34,24.91668,5.338534,19.56582,55.24503,0
34.5,24.91668,5.338534,19.56582,55.24503,0
35,24.91668,5.338534,19.56582,55.24503,0
35.5,24.91668,5.338534,19.56582,55.24503,0
36,25.74108,5.338303,19.65154,55.24503,0
36.5,25.74108,5.338303,19.65154,55.24503,0
37,25.74108,5.338303,19.65154,55.24503,0
37.5,25.74108,5.338303,19.65154,55.24503,0
38,25.74108,5.338303,19.65154,55.24503,0
38.5,25.74108,5.338303,19.65154,55.24503,0
39,25.62547,5.333366,19.13907,70.97185,0
39.5,25.74116,5.302366,18.11184,101.0369,0
40,26.95304,5.317815,17.90686,101.0369,0
40.5,26.90958,5.314148,17.87211,101.0369,0
41,26.90958,5.314148,17.87211,101.0369,0
41.5,27.49264,5.340682,17.14087,101.0369,0
42,28.26598,5.347006,16.13493,101.0369,0
42.5,28.26598,5.347006,16.13493,101.0369,0
43,28.26598,5.347006,16.13493,101.0369,0
43.5,28.26598,5.347006,16.13493,101.0369,0
44,28.26598,5.347006,16.13493,101.0369,0
44.5,28.26598,5.347006,16.13493,101.0369,0
45,28.26598,5.347006,16.13493,101.0369,0
45.5,29.39496,5.347006,16.88562,101.0369,0
46,30.71818,5.347006,17.5804,101.0369,0
46.5,31.96811,5.347006,18.40585,101.0369,0
47,33.40339,5.347006,18.54056,101.0369,0
47.5,34.86901,5.347006,18.31661,101.0369,0
48,36.36184,5.347006,18.14837,101.0369,0
48.5,36.53773,5.347005,17.05488,101.0369,0
49,37.31585,5.347006,17.10791,101.0369,0
49.5,37.31585,5.347006,17.10791,101.0369,0
50,37.31585,5.347006,17.10791,101.0369,0
50.5,37.31585,5.347006,17.10791,101.0369,0
51,37.31585,5.347006,17.10791,101.0369,0
51.5,37.31585,5.347006,17.10791,101.0369,0
52,37.31585,5.347006,17.10791,101.0369,0
52.5,36.6904,5.347006,16.8548,101.0369,0
53,35.94825,5.347006,16.89614,101.0369,0
53.5,36.20156,5.347006,16.92994,101.0369,0
54,36.28562,5.347005,16.92663,101.0369,0
54.5,36.28562,5.347005,16.92663,101.0369,0
55,35.96021,5.347006,17.0372,101.0369,0
55.5,35.10948,5.347006,17.88826,101.0369,0
56,35.96563,5.347006,18.89939,101.0369,0
56.5,36.30855,5.347006,19.27672,101.0369,0
57,36.36703,5.347006,19.30567,101.0369,0
57.5,36.36703,5.347006,19.30567,101.0369,0
58,36.36703,5.347006,19.30567,101.0369,0
58.5,36.36703,5.347006,19.30567,101.0369,0
59,36.36703,5.347006,19.30567,101.0369,0
59.5,36.36703,5.347006,19.30567,101.0369,0
60,36.18294,5.347005,19.8478,101.0369,0
60.5,35.61298,5.347005,19.37356,124.1577,0
61,36.45452,5.347006,20.06115,131.7068,0
61.5,37.19582,5.347006,19.90009,148.8044,0
62,37.93811,5.347006,19.69364,164.4247,0
62.5,39.1846,5.347005,19.42088,169.5206,0
63,39.81548,5.347005,18.71799,182.6199,0
63.5,39.66756,5.347005,17.65799,202.6294,0
64,40.41484,5.347006,17.03392,213.5288,0
64.5,40.00783,5.347006,17.20038,233.0867,0
65,39.81647,5.347006,16.78085,240.5777,0
65.5,39.47793,5.347006,16.35154,240.5777,0
68.5,39.47793,5.347006,16.35154,240.5777,0
69,39.47793,5.347006,16.35154,240.5777,0
69.5,39.47793,5.347006,16.35154,240.5777,0
70,39.70753,5.347006,15.25814,240.5777,0
70.5,38.88947,5.347006,14.77043,240.5777,0
71,38.88947,5.347006,14.77043,240.5777,0
71.5,38.88947,5.347006,14.77043,240.5777,0
72,39.03786,5.347006,14.39356,240.5777,0
72.5,38.81845,5.347006,13.96653,268.7447,0
73,38.07621,5.347006,14.18789,294.7598,0
73.5,36.75212,5.347006,13.65594,294.7598,0
74,36.24765,5.347006,14.41769,324.7401,0
74.5,35.00568,5.347006,14.68058,329.9061,0
75,35.23222,5.347006,14.82618,339.7606,0
75.5,35.36188,5.347006,15.03568,2.259717,0
76,34.85309,5.347006,15.7267,2.259717,0
76.5,34.85309,5.347006,15.7267,2.259717,0
77,34.85309,5.347006,15.7267,2.259717,0
77.5,34.85309,5.347006,15.7267,2.259717,0
78,35.78652,5.347005,15.39327,2.259717,0
78.5,35.91231,5.347005,15.60918,2.259717,0
79,35.91231,5.347005,15.60918,2.259717,0
79.5,35.91231,5.347005,15.60918,2.259717,0
80,36.64941,5.347006,15.15742,359.7455,0
80.5,36.13256,5.347006,15.061,348.0855,0
81,36.28786,5.347006,15.06068,328.8928,0
81.5,37.16251,5.347006,15.20976,328.8928,0
82,37.16251,5.347006,15.20976,328.8928,0
82.5,37.16251,5.347006,15.20976,328.8928,0
83,37.16251,5.347006,15.20976,328.8928,0
83.5,37.16251,5.347006,15.20976,328.8928,0
84,37.16251,5.347006,15.20976,328.8928,0
84.5,37.16251,5.347006,15.20976,328.8928,0
85,37.16251,5.347006,15.20976,328.8928,0
85.5,37.16251,5.347006,15.20976,328.8928,0
86,37.16046,5.347006,14.91388,328.8928,0
86.5,36.61699,5.347006,14.89998,346.835,0
87,35.64732,5.347006,13.78116,346.835,0
87.5,34.55859,5.347006,12.93212,346.835,0
88,34.1018,5.347006,13.24205,346.835,0
88.5,33.46359,5.347006,12.50204,346.835,0
89,32.29388,5.347006,11.75792,346.835,0
89.5,30.87071,5.347006,11.1779,346.835,0
90,29.69068,5.316638,11.26338,346.835,0
90.5,29.07921,5.347006,11.85612,346.835,0
91,29.07921,5.347006,11.85612,346.835,0
91.5,29.07921,5.347006,11.85612,346.835,0
92,29.07921,5.347006,11.85612,346.835,0
92.5,29.07921,5.347006,11.85612,346.835,0
93,29.07921,5.347006,11.85612,346.835,0
93.5,28.14717,5.333251,11.47218,346.835,0
94,28.67394,5.347006,12.03305,6.275603,0
94.5,28.00487,5.335639,11.88329,10.41075,0
