Time, X, Y, Z, Rotation, isSick
9.5,9.959935,0.5208581,3.666297,0,0
10,9.959935,0.5208581,3.666297,0,0
10.5,10.62597,0.7766657,4.497177,0,0
11,11.56924,1.059244,5.091494,0,0
11.5,11.83093,1.189,5.449992,0,0
12,12.07581,1.29149,5.704224,0,0
12.5,12.09915,1.303379,5.733418,0,0
13,12.47336,1.481408,6.205633,0,0
13.5,12.54028,1.442333,5.99988,0,0
14,12.54028,1.442333,5.99988,0,0
14.5,12.54028,1.442333,5.99988,0,0
15,12.54028,1.442333,5.99988,0,0
15.5,12.67206,1.43039,5.945202,5.020634,0
16,12.87073,1.364612,5.683869,15.05555,0
16.5,12.7297,1.168268,5.276132,24.54623,0
17,12.47729,1.026715,4.813082,24.54623,0
17.5,12.21882,0.9044018,4.415275,24.54623,0
18,12.21882,0.9044018,4.415275,24.54623,0
18.5,12.21882,0.9044018,4.415275,24.54623,0
19,12.52844,1.290452,5.787791,24.54623,0
19.5,13.79205,1.589015,6.512688,24.54623,0
20,13.64471,1.93217,7.585779,10.10043,0
20.5,13.13511,2.187277,8.733783,1.542804,0
21,12.43228,2.113601,9.176896,336.1912,0
21.5,12.40773,2.341929,10.59246,337.8643,0
22,12.07917,2.447793,12.03608,344.2874,0
22.5,11.53117,2.343895,12.92472,344.2874,0
23,11.70264,2.485056,14.28313,354.347,0
23.5,11.33546,2.218998,15.3799,341.3921,0
24,11.46187,2.201075,16.78184,349.1452,0
24.5,12.13723,2.271532,18.10459,351.7021,0
25,12.57305,2.220533,19.48242,356.708,0
25.5,13.32974,2.301794,20.65617,5.076766,0
26,13.58257,2.148542,21.86907,356.7518,0
26.5,13.70613,2.027979,23.3658,1.747126,0
27,14.12039,2.078621,24.76258,5.096089,0
27.5,14.77236,2.443885,26.11775,5.096089,0
28,15.15617,2.705371,27.33836,355.3936,0
28.5,15.68771,3.384017,28.56272,6.791213,0
29,15.6312,3.154356,29.5942,348.4951,0
29.5,15.62205,3.215534,31.09772,348.4951,0
30,15.95776,3.665606,32.33723,356.43,0
30.5,16.59127,4.251088,33.46479,7.192279,0
31,17.34939,4.541793,34.75943,7.192279,0
31.5,18.11733,4.805912,36.05247,7.192279,0
32,19.16043,5.054903,36.76865,16.42138,0
32.5,20.60116,5.245816,37.19144,16.42138,0
33,21.64004,5.315266,37.61701,24.62326,0
33.5,22.51497,5.34002,37.93675,28.615,0
34,22.95607,5.333673,38.80792,5.129673,0
34.5,23.67287,5.332299,39.84484,356.2583,0
35,24.27692,5.342579,41.16835,354.6086,0
35.5,24.55232,5.344747,42.33559,342.5093,0
36,25.19411,5.347006,43.43225,342.5093,0
36.5,24.36502,5.341436,44.36859,334.142,0
37,23.94366,5.347006,45.78045,334.142,0
37.5,22.88103,5.341856,46.65339,329.4326,0
38,22.25318,5.336361,47.78608,321.2173,0
38.5,21.45099,5.344396,49.00113,321.2173,0
39,21.80033,5.347006,50.33913,330.7462,0
39.5,22.21652,5.347006,51.69388,332.3945,0
40,22.67768,5.347006,52.92258,337.4053,0
40.5,22.40209,5.347005,54.28983,332.8833,0
41,22.18853,5.352624,55.7781,332.8833,0
41.5,21.63012,5.349445,56.77593,322.8317,0
42,21.69988,5.360639,57.4987,322.8317,0
42.5,21.30535,5.35983,58.62495,322.8317,0
43,21.30535,5.35983,58.62495,322.8317,0
43.5,21.30535,5.35983,58.62495,322.8317,0
44,21.24156,5.364568,59.15865,322.8317,0
44.5,21.24156,5.364568,59.15865,322.8317,0
45,21.24156,5.364568,59.15865,322.8317,0
45.5,21.24156,5.364568,59.15865,322.8317,0
46,21.24156,5.364568,59.15865,322.8317,0
46.5,21.07953,5.35138,58.91839,322.8317,0
47,20.9331,5.346123,58.67014,322.8317,0
47.5,20.55054,5.341846,59.48285,322.8317,0
48,20.61261,5.350735,59.6349,322.8317,0
48.5,20.61261,5.350735,59.6349,322.8317,0
49,20.61261,5.350735,59.6349,322.8317,0
49.5,20.61261,5.350735,59.6349,322.8317,0
50,20.61611,5.355547,59.7067,322.8317,0
50.5,20.62239,5.355806,59.88907,322.8317,0
51,20.61775,5.355806,59.98032,322.8317,0
51.5,20.6165,5.355806,59.99594,322.8317,0
52,20.6165,5.355806,59.99594,322.8317,0
52.5,20.6165,5.355806,59.99594,322.8317,0
53,20.6165,5.355806,59.99594,322.8317,0
53.5,20.6165,5.355806,59.99594,322.8317,0
54,20.6165,5.355806,59.99594,322.8317,0
54.5,20.6165,5.355806,59.99594,322.8317,0
55,20.6165,5.355806,59.99594,322.8317,0
55.5,20.6165,5.355806,59.99594,322.8317,0
56,20.6165,5.355806,59.99594,322.8317,0
56.5,20.6165,5.355806,59.99594,322.8317,0
57,20.6165,5.355806,59.99594,322.8317,0
57.5,20.6165,5.355806,59.99594,322.8317,0
58,20.6165,5.355806,59.99594,322.8317,0
58.5,20.6165,5.355806,59.99594,322.8317,0
59,20.6165,5.355806,59.99594,322.8317,0
59.5,20.6165,5.355806,59.99594,322.8317,0
60,20.6165,5.355806,59.99594,322.8317,0
60.5,20.67994,5.375918,60.18046,322.8317,0
61,20.67994,5.375918,60.18046,322.8317,0
61.5,20.68699,5.385161,60.18678,322.8317,0
62,20.85077,5.393264,60.3178,322.8317,0
62.5,20.96227,5.394429,60.46887,322.8317,0
63,21.06906,5.405056,60.74314,322.8317,0
63.5,21.10402,5.408992,60.94768,322.8317,0
64,21.11034,5.409833,60.99945,322.8317,0
64.5,21.84984,5.501444,61.66491,323.542,0
65,22.86375,5.58262,61.93317,329.5596,0
65.5,23.67533,5.633166,61.56098,340.6137,0
66,24.7331,5.6492,60.8786,345.6958,0
66.5,25.04938,5.676949,60.76482,0.6620984,0
67,25.04938,5.676949,60.76482,0.6620984,0
67.5,25.04938,5.676949,60.76482,0.6620984,0
68,25.04938,5.676949,60.76482,0.6620984,0
68.5,25.43104,5.784799,61.58092,0.6620984,0
69,25.90248,5.998516,62.85905,0.6620984,0
72,28.08634,6.478162,64.58401,6.318942,0
72.5,28.08634,6.478162,64.58401,6.318942,0
73,27.99453,6.608861,65.82095,6.318942,0
73.5,27.92502,6.659191,66.53951,6.318942,0
74,28.06322,6.703659,66.91144,6.318942,0
74.5,28.03765,6.697491,66.86459,6.318942,0
75,28.04035,6.731333,67.05831,6.318942,0
75.5,27.96321,6.742034,67.34291,6.318942,0
76,27.96321,6.742034,67.34291,6.318942,0
76.5,27.96321,6.742034,67.34291,6.318942,0
77,27.96321,6.742034,67.34291,6.318942,0
77.5,27.96321,6.742034,67.34291,6.318942,0
78,27.96321,6.742034,67.34291,6.318942,0
78.5,27.96321,6.742034,67.34291,6.318942,0
79,27.96321,6.742034,67.34291,6.318942,0
79.5,27.96321,6.742034,67.34291,6.318942,0
80,27.96321,6.742034,67.34291,6.318942,0
80.5,27.96321,6.742034,67.34291,6.318942,0
81,27.97797,6.761128,68.03846,6.318942,0
81.5,28.84932,6.811588,68.47322,6.318942,0
82,29.35312,6.865777,69.60126,16.33615,0
82.5,30.56456,6.886347,70.33398,19.26309,0
83,31.74262,6.891511,71.26546,19.26309,0
83.5,33.16735,6.907638,71.73529,19.26309,0
84,34.28167,6.880393,72.39227,5.953292,0
84.5,35.22115,6.838365,73.40986,358.0662,0
85,35.5882,6.795104,74.56082,346.065,0
85.5,35.90869,6.752923,75.87513,338.4894,0
86,35.8396,6.704898,77.20488,330.1378,0
86.5,35.62559,6.662437,78.43931,316.6918,0
87,34.91991,6.596831,79.60555,310.4154,0
87.5,34.07233,6.535873,80.19067,291.3653,0
88,33.34025,6.48804,80.7403,291.3653,0
88.5,32.42165,6.409115,81.89569,291.3653,0
89,31.57451,6.348048,83.13348,291.3653,0
89.5,30.48992,6.277644,84.00166,291.3653,0
90,29.8687,6.241193,84.38782,291.3653,0
90.5,28.7361,6.178779,85.35063,292.7256,0
91,27.89499,6.160674,86.55883,300.4582,0
91.5,27.02425,6.089312,87.78282,300.4582,0
92,26.44151,6.010313,89.01505,307.4785,0
92.5,26.08518,5.888479,90.0399,291.8127,0
93,25.83281,5.82476,90.45628,291.8127,0
93.5,25.0007,5.64952,91.3048,296.6388,0
94,24.71133,5.53405,92.56693,306.6632,0
94.5,25.11288,5.586588,93.65024,321.3116,0
95,25.67032,5.685978,94.45377,343.4575,0
95.5,26.52998,5.754902,95.35287,352.2447,0
96,27.04647,5.764944,96.28988,5.477091,0
96.5,26.98059,5.695409,97.28491,13.03366,0
97,27.37173,5.575881,98.50498,13.03366,0
97.5,28.00821,5.468771,99.34122,1.502388,0
98,29.20411,5.426519,100.226,0.6000183,0
98.5,30.21593,5.348137,101.345,0.6000183,0
99,31.22593,5.242323,102.4519,0.6000183,0
99.5,31.89307,5.058084,103.6085,351.7125,0
100,32.67133,4.856953,104.8241,354.9381,0
100.5,33.58556,4.673403,105.9031,359.5352,0
101,34.48457,4.330405,107.1077,359.5352,0
101.5,35.0152,3.810976,108.4808,359.5352,0
102,34.83266,3.260315,109.8648,359.5352,0
102.5,35.52292,2.749732,110.8293,6.232153,0
103,36.5896,2.723039,111.3,14.58646,0
103.5,37.22323,1.896568,112.6619,14.58646,0
104,38.158,1.487737,113.6053,20.66802,0
104.5,38.99771,1.050809,114.722,21.59427,0
105,40.31615,0.7246283,115.4244,21.59427,0
105.5,41.5928,0.4484458,116.1986,21.59427,0
106,42.27939,0.1920724,117.2782,11.57093,0
106.5,43.01228,0.03205049,118.5058,8.366817,0
107,43.84285,0.009336472,119.6062,5.282483,0
107.5,44.78168,-1.192093E-07,120.4672,0.2810858,0
108,45.78288,0,121.5447,0.2810858,0
108.5,46.40395,-5.960464E-08,122.8385,0.2810858,0
109,46.94937,-5.960464E-08,124.2404,0.2810858,0
109.5,47.48459,-5.960464E-08,125.6455,0.2810858,0
110,47.71345,-5.960464E-08,126.4038,0.2810858,0
110.5,46.97658,0,126.2819,330.5999,0
111,46.68454,-1.192093E-07,126.1076,319.4976,0
111.5,45.61259,0,126.1869,307.7802,0
112,44.04639,-5.960464E-08,126.2096,307.7802,0
112.5,42.96872,-1.192093E-07,126.0308,295.4025,0
113,41.5418,0,126.0745,295.4025,0
113.5,40.17654,-5.960464E-08,125.7548,295.4025,0
114,39.10775,-5.960464E-08,125.7379,282.7693,0
114.5,38.03078,0,125.8961,273.1116,0
115,36.78228,-5.960464E-08,125.3953,268.3401,0
115.5,35.33049,-5.960464E-08,125.8965,279.9328,0
116,34.47551,-5.960464E-08,126.8978,288.3074,0
116.5,33.26346,0,127.6038,288.3074,0
117,32.64099,-5.960464E-08,128.2874,296.5264,0
117.5,31.49761,-1.788139E-07,128.9352,300.3156,0
118,31.14901,0,129.6886,316.5482,0
118.5,30.63472,0,130.4212,328.677,0
119,30.72115,-5.960464E-08,131.748,331.576,0
119.5,30.51989,-5.960464E-08,133.058,331.576,0
120,30.31527,-5.960464E-08,134.5203,331.576,0
120.5,30.22577,-1.788139E-07,136.0383,331.576,0
121,30.80869,-5.960464E-08,137.3659,331.576,0
121.5,30.47471,-5.960464E-08,138.8145,331.576,0
122,30.73483,0.01104319,140.2819,331.576,0
122.5,31.2398,0.09193897,141.3141,337.064,0
123,31.37834,0.4202685,142.789,335.8206,0
123.5,31.58647,0.9324837,144.2781,335.8206,0
124,31.7794,1.501271,145.7691,335.8206,0
124.5,31.99721,2.095231,147.2564,335.8206,0
125,32.08571,2.70834,148.6514,329.4379,0
125.5,32.08394,3.366702,150.1555,329.4379,0
126,32.07854,4.087536,151.6584,329.4379,0
126.5,32.27678,4.764393,152.9244,330.681,0
127,32.64958,5.539586,154.227,340.1094,0
127.5,32.91761,6.380866,155.7062,340.1094,0
128,33.21229,7.226865,157.1806,340.1094,0
128.5,33.50261,8.068822,158.6553,340.1094,0
129,33.99844,8.995936,160.0556,340.1094,0
129.5,34.27113,9.827794,161.538,340.1094,0
130,35.09581,10.61431,162.5154,349.7771,0
130.5,35.71507,11.46895,163.8577,349.7771,0
131,35.95612,12.25325,165.3401,349.7771,0
131.5,36.25148,13.03735,166.8139,349.7771,0
134.5,37.06905,14.88913,170.4721,349.7771,0
135,37.35189,15.58115,171.9674,349.7771,0
135.5,37.80012,16.02301,172.8028,345.2886,0
136,37.32461,16.10936,173.8368,339.567,0
136.5,37.81137,16.79072,175.2056,350.9089,0
137,38.52122,17.4454,176.3176,2.343208,0
137.5,38.7562,18.0071,177.7445,2.343208,0
138,39.16206,18.68828,179.1796,2.343208,0
138.5,39.62149,19.40841,180.5674,2.343208,0
139,40.10395,20.19265,181.9921,2.343208,0
139.5,40.59347,21.03663,183.369,2.343208,0
140,41.13716,21.98348,184.8163,2.343208,0
140.5,41.50419,22.75781,186.0538,352.91,0
141,41.8547,23.6664,187.5151,352.91,0
141.5,42.14984,24.56095,188.9843,352.91,0
142,42.63323,25.52393,190.3361,352.91,0
142.5,43.18444,26.54195,191.7512,352.91,0
143,43.53178,27.41302,193.2128,352.91,0
143.5,43.88574,28.27702,194.6759,352.91,0
144,44.2742,29.16998,196.0841,352.91,0
144.5,44.68328,29.97797,197.4877,352.91,0
145,45.19464,30.80793,198.8981,352.91,0
145.5,45.97456,31.75692,200.2555,352.91,0
146,46.3513,32.41817,201.6341,349.5893,0
146.5,46.57108,32.96748,203.0781,347.4293,0
147,46.8784,33.5762,204.5411,347.4293,0
147.5,47.43583,34.33858,205.8678,351.9678,0
148,48.04153,35.06059,207.2435,351.9678,0
148.5,48.61403,35.73821,208.5187,351.9678,0
149,49.19661,36.48985,209.9053,351.9678,0
149.5,49.8061,37.2262,211.2146,353.2288,0
150,50.72584,37.9376,211.7588,7.272549,0
150.5,51.32773,38.4468,212.4164,7.272549,0
151,52.11232,39.02501,213.5775,1.281814,0
151.5,52.67067,39.40756,214.973,1.281814,0
152,53.62048,39.7744,216.0506,1.281814,0
152.5,54.46989,39.92258,217.2993,1.281814,0
153,55.36596,39.96952,217.463,27.61461,0
153.5,55.30981,39.96281,217.3555,32.10133,0
154,54.94006,39.93526,217.0624,47.11361,0
154.5,55.46167,39.89408,216.6509,67.56618,0
155,56.88245,39.96532,216.5885,67.56618,0
155.5,57.46684,39.97052,215.6052,82.07133,0
156,58.48286,39.97527,214.5759,69.11787,0
156.5,59.70835,39.99267,213.9261,59.55072,0
157,60.87207,39.99268,214.222,42.73417,0
157.5,61.71042,39.99268,214.8097,22.51511,0
158,62.55413,39.99268,215.9003,15.4333,0
158.5,62.7472,39.99268,217.0207,1.234912,0
159,62.75939,39.99268,218.1267,348.4708,0
159.5,62.9733,39.99267,219.5451,348.4708,0
160,63.52674,39.99268,220.9125,348.4708,0
160.5,63.75088,39.99268,222.3991,348.4708,0
161,63.94098,39.99268,223.8919,348.4708,0
161.5,64.08867,39.99268,225.345,348.4708,0
162,64.27744,39.99268,226.8362,348.4708,0
162.5,64.50297,39.99268,228.2806,348.4708,0
163,64.90276,39.99268,229.8183,348.4708,0
163.5,64.5499,39.99268,231.2015,348.4708,0
