Time, X, Y, Z, Rotation, isSick
4.5,9.92779,0.448,3.568376,0,0
5,9.92779,0.448,3.568376,0,0
5.5,9.92779,0.448,3.568376,0,0
6,10.62065,0.3081665,3.425577,15.29708,0
6.5,11.36434,0.5854546,4.524034,15.29708,0
7,12.26861,0.9769318,5.723797,15.29708,0
7.5,13.11402,1.398778,6.881134,15.29708,0
8,13.15408,1.422769,6.950757,15.29708,0
8.5,13.42477,1.574991,7.363619,15.29708,0
9,13.50795,1.529546,7.046575,15.29708,0
9.5,13.54788,1.215924,5.893064,10.30333,0
10,12.67805,1.041931,5.729666,350.2866,0
10.5,12.34309,0.7825671,4.753554,330.9254,0
11,12.14647,0.5469331,3.89633,314.1774,0
11.5,12.74338,0.7195938,4.197575,327.0869,0
12,13.55543,0.5999396,3.315806,357.186,0
12.5,13.52088,0.4145229,2.487071,16.70425,0
13,13.01367,0.2503674,1.826972,28.91912,0
13.5,12.35847,0.1760336,1.34395,28.91912,0
14,12.71521,0.2285113,1.837311,28.91912,0
14.5,11.60776,0.2529457,2.470913,10.51124,0
15,10.83106,0.3447803,3.54718,1.189408,0
15.5,10.40331,0.4031765,4.090482,354.501,0
16,10.33421,0.4569414,4.371107,354.501,0
16.5,10.33421,0.4569414,4.371107,354.501,0
17,10.33421,0.4569414,4.371107,354.501,0
17.5,10.33421,0.4569414,4.371107,354.501,0
18,10.33421,0.4569414,4.371107,354.501,0
18.5,10.33421,0.4569414,4.371107,354.501,0
19,10.33421,0.4569414,4.371107,354.501,0
19.5,10.33421,0.4569414,4.371107,354.501,0
20,10.33421,0.4569414,4.371107,354.501,0
20.5,10.31592,0.4495074,4.211515,354.501,0
21,9.776131,0.3012893,3.954626,354.501,0
21.5,10.25034,0.3403635,3.879117,354.501,0
22,10.58893,0.6350894,5.163475,358.0298,0
22.5,11.03216,1.011313,6.591981,358.0298,0
23,12.17793,1.410116,7.474307,358.0298,0
23.5,12.56302,1.807442,8.875243,358.0298,0
24,13.08049,2.194031,10.27659,358.0298,0
24.5,12.28905,2.179133,11.25376,349.4953,0
25,11.59227,2.125879,12.26006,357.3891,0
25.5,11.32857,2.159193,13.72068,357.3891,0
26,11.48356,2.23862,14.98282,357.3891,0
26.5,12.34384,2.508525,15.86246,7.429051,0
27,12.85164,2.564486,17.16921,7.429051,0
27.5,12.71402,2.605743,16.31194,9.027186,0
28,12.38105,2.552106,15.70646,23.48697,0
28.5,12.62204,2.612828,14.96407,36.76336,0
29,13.37818,2.819837,15.05043,36.76336,0
29.5,13.53551,2.862011,15.10862,36.76336,0
30,13.53551,2.862011,15.10862,36.76336,0
30.5,13.53551,2.862011,15.10862,36.76336,0
31,13.53551,2.862011,15.10862,36.76336,0
31.5,13.53551,2.862011,15.10862,36.76336,0
32,13.53551,2.862011,15.10862,36.76336,0
32.5,13.53551,2.862011,15.10862,36.76336,0
33,13.66209,2.874064,16.01221,36.76336,0
33.5,13.28372,2.729203,16.51669,27.62493,0
34,12.78591,2.560041,16.51277,17.6079,0
34.5,12.43702,2.457998,16.29013,9.569096,0
35,13.06475,2.682877,16.43899,22.93953,0
35.5,13.69843,2.764546,17.76361,25.94787,0
36,13.19579,2.494795,19.08961,25.94787,0
36.5,14.11812,2.656636,19.72044,38.61341,0
37,15.15234,2.940814,19.5884,46.10878,0
37.5,16.34408,3.27657,18.89849,51.11768,0
38,17.73697,3.580418,18.34976,51.11768,0
38.5,19.11679,3.811377,18.66437,41.41406,0
39,20.63915,4.352981,18.41039,41.41406,0
39.5,22.03395,4.773493,18.71772,41.41406,0
40,23.12969,5.224587,19.6788,41.41406,0
40.5,24.14655,5.295708,20.78707,41.41406,0
41,25.27086,5.347006,21.70595,41.41406,0
41.5,26.202,5.347006,22.88834,41.41406,0
42,26.97199,5.380311,24.22733,41.41406,0
42.5,27.90451,5.347006,25.24599,41.41406,0
43,29.30891,5.347006,25.65741,41.41406,0
43.5,30.57811,5.347006,26.35442,45.83969,0
44,31.81939,5.347006,27.17651,46.77398,0
44.5,32.92292,5.347006,28.13666,46.77398,0
45,34.04727,5.347006,29.13332,46.77398,0
45.5,35.23886,5.347006,30.03134,46.77398,0
46,36.67044,5.524415,30.48549,46.77398,0
46.5,36.88435,5.465806,30.61337,46.77398,0
47,36.94056,5.433555,30.65035,46.77398,0
47.5,37.41221,5.347005,31.18583,46.77398,0
48,36.82401,5.397597,30.25091,46.77398,0
48.5,36.21267,5.347006,30.57261,32.37047,0
49,35.74839,5.347006,30.64917,22.31368,0
49.5,35.301,5.347006,30.814,12.31261,0
